13.21,19.82,28502,1
14.86,22.29,31745,2
16.21,24.32,34961,3
18.2,27.3,39245,4
20.36,30.54,43908,5
22.7,34.05,48946,6
25.22,37.83,54390,7
27.93,41.9,60235,8
30.85,46.28,66529,9
33.97,50.96,73263,10
37.33,50.96,80494,11
44.74,50.96,96479,12
53.2,53.2,114726,13
62.86,62.86,135572,14
73.95,73.95,159468,15
12.02,18.03,25925,1
13.51,20.27,28876,2
14.75,22.13,31801,3
16.55,24.83,35698,4
18.52,27.78,39939,5
20.64,30.96,44521,6
22.94,34.41,49474,7
25.41,38.12,54791,8
28.06,42.09,60516,9
30.9,46.35,66641,10
33.95,46.35,73218,11
40.69,46.35,87759,12
48.39,48.39,104356,13
57.18,57.18,123318,14
67.26,67.26,145054,15
11.84,17.76,25530,1
13.31,19.97,28436,2
14.52,21.78,31317,3
16.3,24.45,35154,4
18.24,27.36,39331,5
20.33,30.5,43843,6
22.59,33.89,48720,7
25.02,37.53,53956,8
27.63,41.45,59594,9
30.43,45.65,65626,10
33.43,45.65,72102,11
40.07,45.65,86422,12
47.65,47.65,102766,13
56.31,56.31,121439,14
66.24,66.24,142844,15
12.38,18.57,26700,1
13.92,20.88,29739,2
15.19,22.79,32752,3
17.05,25.58,36765,4
19.07,28.61,41133,5
21.26,31.89,45852,6
23.63,35.45,50952,7
26.17,39.26,56428,8
28.9,43.35,62324,9
31.82,47.73,68633,10
34.97,47.73,75406,11
41.91,47.73,90382,12
49.84,49.84,107475,13
58.89,58.89,127003,14
69.27,69.27,149389,15
12.01,18.02,25915,1
13.51,20.27,28864,2
14.74,22.11,31788,3
16.55,24.83,35683,4
18.51,27.77,39923,5
20.64,30.96,44503,6
22.93,34.4,49453,7
25.4,38.1,54768,8
28.05,42.08,60490,9
30.89,46.34,66613,10
33.94,46.34,73187,11
40.68,46.34,87722,12
48.37,48.37,104313,13
57.16,57.16,123266,14
67.23,67.23,144993,15
11.81,17.72,25483,1
13.28,19.92,28383,2
14.49,21.74,31258,3
16.27,24.41,35088,4
18.2,27.3,39257,5
20.29,30.44,43761,6
22.55,33.83,48629,7
24.97,37.46,53855,8
27.58,41.37,59482,9
30.37,45.56,65503,10
33.37,45.56,71968,11
40,45.56,86260,12
47.56,47.56,102574,13
56.21,56.21,121212,14
66.11,66.11,142577,15
11.9,17.85,25678,1
13.39,20.09,28600,2
14.61,21.92,31498,3
16.39,24.59,35357,4
18.34,27.51,39558,5
20.45,30.68,44097,6
22.72,34.08,49002,7
25.16,37.74,54268,8
27.79,41.69,59938,9
30.61,45.92,66005,10
33.63,45.92,72519,11
40.31,45.92,86921,12
47.93,47.93,103360,13
56.64,56.64,122141,14
66.62,66.62,143670,15
13.19,19.79,28443,1
14.83,22.25,31680,2
16.18,24.27,34889,3
18.16,27.24,39164,4
20.32,30.48,43818,5
22.65,33.98,48845,6
25.17,37.76,54278,7
27.87,41.81,60111,8
30.79,46.19,66393,9
33.9,50.85,73113,10
37.25,50.85,80328,11
44.65,50.85,96281,12
53.09,53.09,114491,13
62.74,62.74,135293,14
73.79,73.79,159141,15
12.21,18.32,26338,1
13.73,20.6,29335,2
14.98,22.47,32307,3
16.82,25.23,36265,4
18.81,28.22,40575,5
20.97,31.46,45230,6
23.31,34.97,50261,7
25.81,38.72,55662,8
28.51,42.77,61478,9
31.39,47.09,67701,10
34.49,47.09,74383,11
41.34,47.09,89155,12
49.16,49.16,106016,13
58.09,58.09,125279,14
68.33,68.33,147361,15
11.78,17.67,25415,1
13.25,19.88,28308,2
14.46,21.69,31176,3
16.23,24.35,34995,4
18.16,27.24,39154,5
20.24,30.36,43646,6
22.49,33.74,48500,7
24.91,37.37,53713,8
27.51,41.27,59325,9
30.29,45.44,65330,10
33.28,45.44,71778,11
39.89,45.44,86032,12
47.44,47.44,102303,13
56.06,56.06,120892,14
65.94,65.94,142200,15
13.06,19.59,28170,1
14.68,22.02,31375,2
16.02,24.03,34554,3
17.99,26.99,38788,4
20.12,30.18,43397,5
22.43,33.65,48375,6
24.93,37.4,53756,7
27.61,41.42,59533,8
30.49,45.74,65754,9
33.58,50.37,72410,10
36.89,50.37,79556,11
44.22,50.37,95355,12
52.58,52.58,113390,13
62.13,62.13,133993,14
73.08,73.08,157610,15
12.21,18.32,26338,1
13.73,20.6,29335,2
14.98,22.47,32307,3
16.82,25.23,36265,4
18.81,28.22,40575,5
20.97,31.46,45230,6
23.31,34.97,50261,7
25.81,38.72,55662,8
28.51,42.77,61478,9
31.39,47.09,67701,10
34.49,47.09,74383,11
41.34,47.09,89155,12
49.16,49.16,106016,13
58.09,58.09,125279,14
68.33,68.33,147361,15
12.24,18.36,26412,1
13.77,20.66,29417,2
15.02,22.53,32398,3
16.86,25.29,36367,4
18.87,28.31,40688,5
21.03,31.55,45356,6
23.37,35.06,50402,7
25.88,38.82,55818,8
28.59,42.89,61651,9
31.48,47.22,67891,10
34.59,47.22,74591,11
41.46,47.22,89404,12
49.3,49.3,106313,13
58.25,58.25,125630,14
68.52,68.52,147774,15
12.2,18.3,26320,1
13.72,20.58,29316,2
14.97,22.46,32286,3
16.8,25.2,36242,4
18.8,28.2,40548,5
20.96,31.44,45200,6
23.29,34.94,50228,7
25.79,38.69,55625,8
28.49,42.74,61438,9
